id,commit,build,exec_time,comment,fix,lastFix
114,14221a4e,SUCCESS,12,Change maven build to use exec-maven-plugin,{'lastFix': None},
115,e329ecf6,SUCCESS,13,Delete TODO file,{'lastFix': None},
116,2e564955,SUCCESS,14,Update to time-zone data 2012j,{'lastFix': None},
117,263d4427,SUCCESS,16,Accept pull request,{'lastFix': None},
118,7e08f749,SUCCESS,13,Merge remote-tracking branch 'hajimes/period_ja',{'lastFix': None},
119,6d56b7e6,SUCCESS,14,Add Japanese translation of word-based periods,{'lastFix': None},
120,101995f4,SUCCESS,15,Javadoc clarify on formatter builder,{'lastFix': None},
121,8ffa0cd7,SUCCESS,14,Fix calculation of month length when day-of-month specified is less than 1,{'lastFix': None},
122,77a6b3a4,SUCCESS,15,Fix fromCalendarFields()/fromDateFields() to handle era BC correctly,{'lastFix': None},
123,f2f9c814,SUCCESS,13,Maven pom tweaks,{'lastFix': None},
124,5cdb2065,SUCCESS,13,Merge pull request #7 from dancojocar/patch-1,{'lastFix': None},
125,e9f90a1e,SUCCESS,13,Fix typo,{'lastFix': None},
126,bb661e13,SUCCESS,14,Fix to handle cross-time-zone issues properly rather than always using UTC [163],{'lastFix': None},
127,cd24d5cb,SUCCESS,13,Fix to handle cross-time-zone issues properly rather than always using UTC,{'lastFix': None},
128,136667cc,SUCCESS,13,Add Danish translation of word-based periods,{'lastFix': None},
129,6d3a272c,SUCCESS,12,Fix tests to match changes Spanish resource file,{'lastFix': None},
130,fd88604b,SUCCESS,12,Corrected accent on i in Spanish 'dias',{'lastFix': None},
131,a9f1ae91,SUCCESS,12,Fix to avoid exception for times before 1970 with non-zero milli-of-second,{'lastFix': None},
132,5d0f10b4,SUCCESS,12,Add test case to investigate issue,{'lastFix': None},
133,5d08a1cd,SUCCESS,15,Fix period formatter to correctly output values negative milliseconds [3564249],{'lastFix': None},
134,6a1b24c5,SUCCESS,17,Add methods to calculate Julian Day,{'lastFix': None},
135,bce8df70,SUCCESS,14,Better installation docs,{'lastFix': None},
136,14863a51,SUCCESS,16,Parsing of US short time-zone names,{'lastFix': None},
137,46b817a0,SUCCESS,16,Fix formatter cannot print/parse code,{'lastFix': None},
138,06fffaf3,SUCCESS,14,Ignore Eclipse files,{'lastFix': None},
139,2091e713,SUCCESS,14,Add P2 update site,{'lastFix': None},
140,fdb2ef48,SUCCESS,13,Merge pull request #4 from jlavallee/patch-1,{'lastFix': None},
141,24ad2dd7,SUCCESS,13,Clarify values passed into constructors,{'lastFix': None},
142,fecee760,SUCCESS,13,Fix typo in Jollyday description,{'lastFix': None},
143,66c4a1c1,SUCCESS,15,Change some StringBuffer uses to StringBuilder [3532330],{'lastFix': None},
144,2ea85632,SUCCESS,12,Fix MonthDay add/subtract around Feb29 [3528941],{'lastFix': None},
145,cc3262ff,SUCCESS,12,Harden TestReadableDurationConverter test case [3515086],{'lastFix': None},
146,0cefc4c2,SUCCESS,12,"FieldUtils.safeMultiply(long,int) [3520651]",{'lastFix': None},
147,383354ad,SUCCESS,12,Update time-zone data to 2012c,{'lastFix': None},
148,706513d5,SUCCESS,11,Fix DateTimeFormatter.parseInto() [3522138],{'lastFix': None},
149,dba7c37e,SUCCESS,12,Add better null comment [3513326],{'lastFix': None},
150,67178f0d,SUCCESS,12,Prepare for v2.1,{'lastFix': None},
151,0993b376,SUCCESS,15,Checkstyle,{'lastFix': None},
152,aa13a78e,SUCCESS,13,Fix cut and paste in docs,{'lastFix': None},
153,90ed89df,SUCCESS,13,Fixup ant script,{'lastFix': None},
154,48e7bb78,SUCCESS,14,Update Joda-Convert dependency,{'lastFix': None},
155,b8f80df3,SUCCESS,14,Add Scala notes,{'lastFix': None},
156,2c7cc093,SUCCESS,13,Update to time-zone 2011n,{'lastFix': None},
157,1cea361a,SUCCESS,14,Add to git ignore,{'lastFix': None},
158,3ea371ac,SUCCESS,13,Add since tags,{'lastFix': None},
159,790a3a23,SUCCESS,14,Fix validation in BasicChronology.getDateTimeMillis,{'lastFix': None},
160,714c53e2,SUCCESS,14,Fix multiplication of Long.MIN_VALUE by -1 in safeMultiply(),{'lastFix': None},
161,44b5d6cc,SUCCESS,13,Add Period.multipliedBy(int) and Period.negated(),{'lastFix': None},
162,12fce671,SUCCESS,14,Use getID() when parsing JDK TimeZone,{'lastFix': None},
163,a8913f5a,SUCCESS,13,Fix time zone later/earlier offset methods in Western hemisphere [3476684],{'lastFix': None},
164,cdeacf09,SUCCESS,14,Fix multi-lingual period format for using English from another language default [3471414],{'lastFix': None},
165,5d8a77e2,SUCCESS,13,Tweaks to cached time-zone to try and avoid a NPE [3470276],{'lastFix': None},
166,d634d385,SUCCESS,14,Add FAQ on wrong time-zone offsets,{'lastFix': None},
167,3bca798e,SUCCESS,13,Fix references to removed methods in user guide,{'lastFix': None},
168,7a4800c2,SUCCESS,13,Enhance plus/minus javadoc [3469522],{'lastFix': None},
169,1803610f,SUCCESS,14,Add to gitignore,{'lastFix': None},
170,d2ec203c,SUCCESS,14,Enhance readResolve() from LocalDate/LocalTime/LocalDateTime [3461008],{'lastFix': None},
171,d6791cb5,SUCCESS,14,Fix PeriodType caching,{'lastFix': None},
172,7b5032a4,SUCCESS,13,Better hash code distribution,{'lastFix': None},
173,b609d7d6,SUCCESS,14,Fix GJChronology to allow some leap year dates in JulianChronology to be created [3446915],{'lastFix': None},
174,e16eb72a,SUCCESS,14,Make hash code deterministic,{'lastFix': None},
175,5a4fb365,SUCCESS,13,"Fix broken hyperlink, notified by ""Gent, R.H. van (Rob)""",{'lastFix': None},
176,82c5e4f9,SUCCESS,14,Ambiguous date-time when in zone with offset of 00:00 [3424669],{'lastFix': None},
177,a92450e8,SUCCESS,13,Fix zone id parsing for ids like America/Dawson_Creek [3427389],{'lastFix': None},
178,17a60c9a,SUCCESS,14,Add note about JAXB to related projects,{'lastFix': None},
179,7b145b04,SUCCESS,14,Update FAQ,{'lastFix': None},
180,f52ae28d,SUCCESS,13,Add time-zone offset to Interval string [https://github.com/JodaOrg/joda-time/pull/2],{'lastFix': None},
181,e2d472ba,SUCCESS,14,"Format the endpoints of an interval in toString using ISODateTimeFormat.dateTime(), to not lose the timezone",{'lastFix': None},
